SUMD ID,GPS Latitude,GPS Longitude
Powered00746183-96c8-58d7-97b5-04a091c91b34,36.1202,-86.7533
Powered0081af55-4f3b-5c89-9c58-d67d00f33665,36.1498,-86.7969
Powered009445c2-292c-5e04-aa82-b3b390f8e57a,36.12,-86.7532
Powered00be5e61-ba93-57a4-b0c2-aa8c0d4379f3,36.1562,-86.6281
Powered00c97352-8daa-5a8c-84cf-bffe9825fc0e,36.1468,-86.7902
Powered00da85a4-7572-5cb0-8f76-38ac43c9bce7,36.12,-86.7535
Powered00f43eb2-cafe-5048-8183-53b919cb1499,36.137,-86.8009
Powered00fcc78c-7ee8-5bd1-bd4d-15aa8679b693,36.154,-86.7932
Powered011af1e6-509a-5c30-b7ec-e390523448d3,36.166,-86.7779
Powered01203fbf-ff8f-534b-bb27-a19999d02288,36.1198,-86.7529
Powered01486fdb-0556-568d-a138-234e0517f4a0,36.1202,-86.7533
Powered0186322c-cd80-5a79-8943-8aec3dcf4614,36.12,-86.7533
Powered0206abf4-e7f8-5264-a598-455a25a7cde9,36.12,-86.7534
Powered022a0f15-116c-598f-b479-e80e569f5a5d,36.1202,-86.7533
Powered023b94ca-01c6-5fab-b299-21d8e3660835,36.1198,-86.7533
Powered023e8283-aa60-5700-ae4d-e7eb5fe07810,36.1559,-86.7894
Powered025bcea9-93eb-54c9-a973-1c1935e37191,36.1675,-86.776
Powered0286418d-3aff-5080-b4ee-a1ac8be225b8,36.1199,-86.7528
Powered02bac2df-ae1e-5197-ba1c-ff03f4c16cfa,36.1459,-86.8116
Powered02c2ba17-28b1-51d5-891b-1a23437ba552,36.1202,-86.7532
Powered02e45bf6-625a-5acc-b1a4-090f18c580a7,36.12,-86.7533
Powered02e513fd-b017-5592-b03f-101e0dd8efa6,36.1197,-86.7533
Powered02e7c421-c819-521b-a3c3-94679e66a1c6,36.12,-86.7534
Powered031929a9-e0b5-5ea0-b625-ba3257e6a315,36.1773,-86.751
Powered03263d1c-6033-5af0-bae3-0d45341494d8,36.1202,-86.7536
Powered039fb97c-32fa-5349-99bf-cbbb24f86fa3,36.1197,-86.7536
Powered03bf9d86-ed78-5553-a875-c0a670f9c005,36.1201,-86.7532
Powered03eccca0-c690-5617-b967-1800fa512536,36.1707,-86.7643
Powered03f50430-df25-5735-8602-3bc0675f9c24,36.1198,-86.7536
Powered042e8df0-f5d4-52fd-85c8-8887a6c89a64,36.12,-86.7533
Powered0466ce13-66e8-5728-ad08-282da6642f72,36.12,-86.7534
Powered04704d59-8241-5a5a-962e-5930af7cc16b,36.1277,-86.7891
Powered04a47904-7a63-515a-94af-56e7e88be868,36.1199,-86.7534
Powered05059044-6a2c-57e4-9dc2-13bbafffe437,36.12,-86.7534
Powered05a7f4ce-3737-5baf-b76e-68abfc95a44b,36.1484,-86.7991
Powered05ab0922-1d51-56b1-a1ad-a3ad700c7244,36.16,-86.7766
Powered05c4321a-a915-53a8-957f-2ccdb238558b,36.1484,-86.7927
Powered05e6c0ee-739d-50ef-bc42-5e131feeec80,36.12,-86.7534
Powered05eabd36-5d47-584c-849a-43118395057f,36.1201,-86.7534
Powered05f026cb-c56c-556c-8939-cb7d464a0138,36.1199,-86.753
Powered05f2f35c-dd27-5517-969a-47bc717eb547,36.1199,-86.7535
Powered05fee9e1-d132-5e4f-88cd-153058d391fa,36.1196,-86.7532
Powered0612f166-ea11-5de5-9563-50fd38cd2e7e,36.12,-86.7532
Powered06156fee-d2f7-572b-b291-b5486d9f7eec,36.1199,-86.7534
Powered0631b537-194e-5029-8e13-381d1497f89b,36.1752,-86.7881
Powered0638bf90-dddf-51b6-9cf3-1d449baab7ee,36.1201,-86.7533
Powered06503a8b-e692-5c0a-8e2f-2d52fcf60053,36.12,-86.7535
Powered065b500a-3cf9-51a3-9d0f-2422ca4bae34,36.1278,-86.7889
Powered069c8c6a-1224-5f53-91ac-38fd626e943f,36.1648,-86.7798
Powered06c21a92-e62d-58f1-954f-ebdc7d2058cb,36.1346,-86.8043
Powered06cb0193-7fe0-5670-b400-60f1aa07f72f,36.1555,-86.7866
Powered06d92941-7e1c-5b9c-9acf-2e2e8a4c2aa4,36.1448,-86.8116
Powered06dca486-1e3f-5bfa-89c2-084d7da40a23,36.1199,-86.7535
Powered070fe07a-f3f1-5ba9-9cb7-15a7fa94dd8a,36.1199,-86.7533
Powered07790b01-941d-505c-bd20-4bfe13061472,36.12,-86.7533
Powered077aad07-6b31-5cc2-8502-84d23ec9d7a7,36.1774,-86.7879
Powered078b9768-e51a-57b2-97c4-88342857b09a,36.1538,-86.77
Powered07945362-4918-56b5-af9f-9dbd9712314e,36.12,-86.7535
Powered079f7572-0ce9-5189-a5b0-ba64fd3b8fc6,36.1201,-86.7533
Powered07c8ae09-4445-51ef-a49a-b6101706a0f0,36.1196,-86.7531
Powered07d51edb-4883-51c7-abf3-24828869604b,36.1613,-86.7753
Powered084cda5a-111d-5774-8d4b-ac14aabe9049,36.1199,-86.7533
Powered0856d6d4-94ef-564c-8a0a-c02c2281de99,36.1198,-86.7534
